,doc_id,youtube_video_id,start_time_sec,end_time_sec,transcription,title,start_time,end_time,url,total_time,total_words
12,13,HqYNifbUzzY,2.73,51.239,peppa pig little brother mummy pig study lovely sunny day peppa george ride bicycle fine pumpkin daddy pig daddy pig proud pumpkin pumpkin thing grow probably love pumpkin pie george danny suzy rebecca peppa friend danny dog suzy sheep rebecca,bicycles,00:00:02.730,00:00:51.239,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,48.509,40
13,14,HqYNifbUzzY,51.629,91.32,rabbit ride bicycle george ride tricycle gain slowly let race daddy pig pumpkin race pumpkin careful bump daddy sad pup break worry peppa ratio friend race daddy pig pumpkin watch pumpkin look daddy pumpkin,bicycles,00:00:51.629,00:01:31.320,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,39.691,34
14,15,HqYNifbUzzY,94.29,132.98,sorry daddy slowly george ride baby bike bible bike peppa stabilizer ride stabilizer let ride hill good come peppa think stay late hello peppa wish,bicycles,00:01:34.290,00:02:12.980,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,38.69,25
15,16,HqYNifbUzzY,133.43,164.72,stabilizer bicycle daddy want stabilize anymore think ride yes alright peppa let daddy pig stabilizer peppa bicycle sure want ride stabilizer yes funny,bicycles,00:02:13.430,00:02:44.720,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,31.29,23
16,17,HqYNifbUzzY,166.459,211.13,ride stabilizer easy like help peppa yes daddy right ready steady daddy worry really good peppa peppa ride stabilizer cycle age really good look,bicycles,00:02:46.459,00:03:31.130,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,44.671,24
17,18,HqYNifbUzzY,211.459,262.74,look ride bike properly danny suzy rebecca need stabilizer anymore look look pumpkin look dear peppa squash daddy pig pumpkin sorry squash steal pop kick daddy mind pumpkin important thing okay future really look,bicycles,00:03:31.459,00:04:22.740,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,51.281,34
18,19,HqYNifbUzzY,264.09,279.45,promise daddy good pumpkin break make pumpkin pie pumpkin pie daddy pig pumpkin big pumpkin pie,bicycles,00:04:24.090,00:04:39.450,https://www.youtube.com/watch?v=HqYNifbUzzY&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,15.36,16
19,20,6MPWnMpLMcg,2.7,51.78,pig little brother mummy pig secret mummy pig make special box peppa peppa box thank mummy secret box secret thing thing decide peppa secret box know good tell tell,secrets,00:00:02.700,00:00:51.780,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,49.08,29
20,21,6MPWnMpLMcg,52.89,97.11,george daddy secret george secret box thing george want help peppa george early know say box wait outside choose peppa choose secret thing box secret box george know look inside george like,secrets,00:00:52.890,00:01:37.110,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,44.22,32
21,22,6MPWnMpLMcg,97.439,133.17,know inside peppa secret box like try guess george think peppa dinosaur george say dinosaur dinosaur big fit box george guess peppa secret box daddy pig clean picture daddy secret box mummy make nice peppa inside,secrets,00:01:37.439,00:02:13.170,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.731,36
22,23,6MPWnMpLMcg,134.28,174.3,secret george try guess right try glass inside glass head silly daddy proper gasp okay mummys shoe guess ease peppa like secret herbie know box george,secrets,00:02:14.280,00:02:54.300,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.02,26
23,24,6MPWnMpLMcg,175.47,203.19,make box george secret thing george know inside peppa like know inside george box george toy dinosaur course yes george toy dinosaur george box difficult guess peppa doe like secret use maybe,secrets,00:02:55.470,00:03:23.190,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,27.72,32
24,25,6MPWnMpLMcg,203.88,239.85,george thing box thing okay time good idea count box ready yes george drum peppa trumpet nice secret thing george custard doughnut,secrets,00:03:23.880,00:03:59.850,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.97,22
25,26,6MPWnMpLMcg,241.549,278.15,peppa box luckily come tuck george peppa mummy pig daddy pig like custard doughnut special box know good place hide custard doughnut guess like hide fridge special tummy hide tummy,secrets,00:04:01.549,00:04:38.150,https://www.youtube.com/watch?v=6MPWnMpLMcg&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.601,30
26,27,7GCOGUeWaFA,2.669,46.42,peppa pig little brother mummy pig daddy dick lick lovely bright sunny day peppa family picnic daddy pig bring picnic basket picnic blanket bread cheese tomato forget mummy job tease mummy homemade strawberry cake,picnic,00:00:02.669,00:00:46.420,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,43.751,34
27,28,7GCOGUeWaFA,46.78,89.07,everybody ready ready let look like spot picnic great outdoor run bite exercise want eat nap certainly want run maybe daddy run bite tummy quite big tummy big late exercise doe let,picnic,00:00:46.780,00:01:29.070,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,42.29,32
28,29,7GCOGUeWaFA,91.33,147.18,good idea mummy pig really hungry feel quite sleepy think want run bite daddy pig litter look little duck pond mummy fee duck yes fee rest bread george love feed bread ducks mummy okay want bread sure sorry madame duck bread,picnic,00:01:31.330,00:02:27.180,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,55.85,41
29,30,7GCOGUeWaFA,152.01,188.25,duck want food daddy pig exercise lot peppa tell bread strawberry cake good cake leave ducks like mummy pig homemade strawberry cake wasp hate wasp shoo fuss mummy pig little wasp away wasp,picnic,00:02:32.010,00:03:08.250,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.24,33
30,31,7GCOGUeWaFA,190.26,235.62,stay mummy pig fly away stay away scram shoo wasp sting daddy away little pest daddy pig run fast wasp catch let eat cake wasp come forget leave ducks think,picnic,00:03:10.260,00:03:55.620,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,45.36,30
31,32,7GCOGUeWaFA,235.95,272.16,lose say run exercise daddy pig believe luckily manage hang slice strawberry cake stop daddy promise rest cake ducks lucky say thank daddy pig welcome time home say goodbye ducks bye bye duck time,picnic,00:03:55.950,00:04:35.970,https://www.youtube.com/watch?v=7GCOGUeWaFA&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.02,34
32,33,r1-3Cv2h23s,2.449,59.219,big little brother george musical instrument mummy pig daddy pig tidy house mummy pig old box attic guess inside musical instrument bite old dusty true violin use play little mummy play,musical instruments,00:00:02.449,00:00:59.219,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,56.77,31
33,34,r1-3Cv2h23s,60.09,110.98,violin play long time mummy play hope forget mummy play violet hold like yes dear think mean sound like george want try like george doe sound quite right violet hard play peppa maybe tin,musical instruments,00:01:00.090,00:01:50.980,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,50.89,34
34,35,r1-3Cv2h23s,111.58,154.12,drum thank daddy sound peppa love play drum lovely yes sound nice daddy pig old accordion use play mummy pig meet daddy pig remember tune george want play accordion sure george accordion quite difficult george crude difficult play,musical instruments,00:01:51.580,00:02:34.120,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,42.54,38
35,36,r1-3Cv2h23s,155.97,197.099,drum okay george maybe george bite little play accordion daddy turbots box horn try blow hard doe sound right impossible think use able play really doe sound right maybe need big,musical instruments,00:02:35.970,00:03:17.099,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,41.129,31
36,37,r1-3Cv2h23s,197.67,234.96,strong like doe sound right pap right impossible play nevermind daddy pig stick play beautifully good play quite nicely say play violin play truck mummy pig play violin daddy pig play accordion play drum,musical instruments,00:03:17.670,00:03:54.960,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.29,34
37,38,r1-3Cv2h23s,238.56,261.299,instrument george play george blow horn mummy play horn daddy play play george play,musical instruments,00:03:58.560,00:04:21.299,https://www.youtube.com/watch?v=r1-3Cv2h23s&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,22.739,14
38,39,4yPLpM1TWE0,2.669,59.82,big little brother mummy pig folk worm doctor fly peppa george help grandpa pig garden beautiful butterfly grandpa butterfly like flower food flower long tongue look yes butterfly tongue long,frogs and worms and butterflies,00:00:02.669,00:00:59.820,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,57.151,30
39,40,4yPLpM1TWE0,60.27,119.89,use drink flower peppa butterfly secure flower flower peppa pig pretty want butterfly kepler play butterfly george want play george butterfly know reckon wrong fly dear george doe want win,frogs and worms and butterflies,00:01:00.270,00:01:59.890,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,59.62,30
40,41,4yPLpM1TWE0,121.03,168.22,want butterfly george little piggy use like play worm easy worm lie grind wriggle wriggly worm dorjan grandpa pig fun wriggly worm fly little butterfly look like butterfly yes peppa,frogs and worms and butterflies,00:02:01.030,00:02:48.220,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,47.19,30
41,42,4yPLpM1TWE0,169.239,216.01,beautiful butterfly grandpa george wriggly worm want regular regular wrinkly bob regular good wiggly worm love love fun animal want look grandpa little frog,frogs and worms and butterflies,00:02:49.239,00:03:36.010,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,46.771,24
42,43,4yPLpM1TWE0,217.72,263.23,play frog frandsen britches butterfly wiggly worm look frog play game like difference play doll silly peppa favorite game jump muddy puddle yes frog love jump muddy puddle let play frog froggy buggy nice big muddy puddle play,frogs and worms and butterflies,00:03:37.720,00:04:23.230,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,45.51,38
43,44,4yPLpM1TWE0,264.79,277.24,pepperidge george love jump muddy puddle love jump muddy puddle butterfly worm nice like frog,frogs and worms and butterflies,00:04:24.790,00:04:37.240,https://www.youtube.com/watch?v=4yPLpM1TWE0&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,12.45,15
44,45,dt6WCk75MwE,2.03,67.59,pet pig little brother big daddy peppa george play mummy daddy bed peppa box old clothe daddy hat mummy dress george let open tend pee mummy daddy daddy hat cousin hello daddy pig turn mummy dress mummy,dressing up,00:00:02.030,00:01:07.590,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,65.56,37
45,46,dt6WCk75MwE,72.35,136.15,mac daddy pig shoe need shoe need look beautiful like peppa mummys makeup box powder lovely lipstick pretty mummy pig come daddy pig time work mummy pig work computer hello peppa hello george beg pardon peppa,dressing up,00:01:12.350,00:02:16.150,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,63.8,36
46,47,dt6WCk75MwE,136.569,183.64,say hello peppa pig love pink yes course hello mummy pig hello daddy pig george hello daddy pig hello yes thank peppa enjoy pretend mummy pig george bite bore sorry daddy pig nearly finish dad come daddy pig,dressing up,00:02:16.569,00:03:03.640,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,47.071,38
47,48,dt6WCk75MwE,184.239,227.29,time goodbye mummy pig daddy pig goodbye daddy pig dig garden hello george pick mummy pig daddy pig daddy pig exclusive kind daddy pig deep hole hope clothe daddy pig want make pig snort,dressing up,00:03:04.239,00:03:47.290,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,43.051,34
48,49,dt6WCk75MwE,239.27,272.15,ice cream ice cream peppa george muddy clothe eat mummy pig daddy pig sure yes peppa george good shame favorite ice cream peppa george yes mummy pretend daddy really food,dressing up,00:03:59.270,00:04:35.480,https://www.youtube.com/watch?v=dt6WCk75MwE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.21,30
49,50,90xXHuliEEk,4.89,58.559,little brother big new shoe play garden shoe lose good sure maybe try garden yes look peppa shoe mummy pig look flowerbed peppa shoe daddy pig look wheelbarrow peppa shoe,new shoes,00:00:04.890,00:00:58.559,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,53.669,30
50,51,90xXHuliEEk,61.649,95.82,peppa george look flowerpot peppa shoe look peppa shoe peppa shoe lose sure poor peppa shoe bite old buy new pair new shoe red mummy course george new red shoe mummy pig peppa miss,new shoes,00:01:01.649,00:01:35.820,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,34.171,34
51,52,90xXHuliEEk,96.479,139.38,rabbit shoe shop hello miss rabbit hello mummy pig like buy new shoe peppa red shoe good sure lovely new shoe peppa red course red cheese george daddy pig play draft good george daddy daddy look new shoe reds say red mummy,new shoes,00:01:36.479,00:02:19.380,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,42.901,42
52,53,90xXHuliEEk,139.65,176.64,like new shoe yes peppa make look smart george like new shoe like peppa new shoe like new shoe want bath time peppa want new shoe bath hepler pyjama new shoe peppa want wear new shoe,new shoes,00:02:19.650,00:02:56.640,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,36.99,36
53,54,90xXHuliEEk,177.239,208.61,bed peppa sure want shoe want new shoe puppy good good night peppa george good night mummy good night daddy good night little piggy rain night garden wet mummy pig wear boot daddy pig wear boot,new shoes,00:02:57.239,00:03:28.610,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,31.371,36
54,55,90xXHuliEEk,209.87,245.06,george wear boot peppa wear new red shoe george play wet grass peppa love play wet grass want new shoe wet play wet grass george george love jump muddy puddle peppa love jump puddle want new shoe muddy mean daddy love jump,new shoes,00:03:29.870,00:04:05.060,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.19,42
55,56,90xXHuliEEk,245.33,275.81,muddy puddle like jump muddy puddle peppa peppa putt boot jump muddy puddle wear boot,new shoes,00:04:05.330,00:04:35.810,https://www.youtube.com/watch?v=90xXHuliEEk&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,30.48,15
56,57,8t1WdjVZbiE,2.669,67.77,pig little brother george pink mummy pig daddy mister dinosaur look george favorite toy mister dinosaur ranger george love mister george like scare peppa mister dinosaur suppertime mister dinosaur sit george beg pardon george mister dinosaur gang bath time george share bath mister dinosaur,mr dinosaur is lost,00:00:02.669,00:01:07.770,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,65.101,44
57,58,8t1WdjVZbiE,73.74,123.28,good night peppa good night mummy good night george good night mister dinosaur george bed mister dinosaur tuck george favorite game throw mister dinosaur air catch fall peppa daddy pig play draft win daddy good peppa george george matt uncle,mr dinosaur is lost,00:01:13.740,00:02:03.280,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,49.54,40
58,59,8t1WdjVZbiE,126.28,164.15,george lose mister dinosaur george lose mister dinosaur worry mister dinosaur job detective daddy deep tech kiss detective important person good thing thing right peppa detective george detective help mister dinosaur maybe detective,mr dinosaur is lost,00:02:06.280,00:02:44.150,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.87,33
59,60,8t1WdjVZbiE,164.87,205.01,ask george simple question george mister dinosaur george doe know mister dinosaur detective try guess mister dinosaur know george mister dinosaur bath mister dinosaur bath mister dinosaur bath know know mister dinosaur george mister dinosaur,mr dinosaur is lost,00:02:44.870,00:03:25.010,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,40.14,35
60,61,8t1WdjVZbiE,205.67,248.72,bed night save hilarious mister dinosaur george bed maybe try garden yes garden say mister dinosaur mister dinosaur hard mister dinosaur teddy george love throw mister dinosaur wonder time throw mister dinosaur bite high,mr dinosaur is lost,00:03:25.670,00:04:08.720,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,43.05,34
61,62,8t1WdjVZbiE,249.26,275.78,good peppa really good detective george happy mister dinosaur maybe good idea play dinosaurs near tree,mr dinosaur is lost,00:04:09.260,00:04:35.780,https://www.youtube.com/watch?v=8t1WdjVZbiE&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,26.52,16
62,63,IoKPhv_x00A,2.7,56.55,pig little brother school fete today day school fete peppa love come fete peppa friend suzy sheep danny dog rebecca rabbit pedro pony hello love school fete like face paint like balloon like bouncy castle like good choice peppa good,the school fete,00:00:02.700,00:00:56.550,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,53.85,40
63,64,IoKPhv_x00A,57.27,89.43,late pop pop pop late george like dine dear dinosaur fete george maybe dinosaur balloon sure dinosaur balloon daddy certain control face paint course teeny miss rabbit paint peppa friend suzy look like,the school fete,00:00:57.270,00:01:29.430,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,32.16,33
64,65,IoKPhv_x00A,89.939,128.91,tiger thank miss rabbit like face suzy pussycat tiger peppa like face paint yes elephant dear know elephant tigers yes tiger peppa tiger tiger george like dine girl dinosaur,the school fete,00:01:29.939,00:02:08.910,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,38.971,29
65,66,IoKPhv_x00A,130.259,178.13,tiger instead good tiger yes tigers say woof woof know tigers big cat yes cat patti teach tigers okay tigers creep slowly tigers like lick clean dog happy hello child,the school fete,00:02:10.259,00:02:58.130,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,47.871,30
66,67,IoKPhv_x00A,179.51,215.3,goodness tigers teach proper tigers little tigers want right george dinosaur balloon let balloon hello madame gazelle like balloon certainly lot different gravan elephant balloon come kangaroo allow,the school fete,00:02:59.510,00:03:35.300,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.79,28
67,68,IoKPhv_x00A,217.04,254.96,monkey perfect yes important need dinosaur balloon george dear dinosaur balloon gosh idea long balloon watch everybody daddy pig balloon yes guess,the school fete,00:03:37.040,00:04:14.960,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,37.92,22
68,69,IoKPhv_x00A,255.37,279.71,kangaroo dream sure right dinosaur daddy pig make balloon dinosaur sure bouncy castle peppa love bounce bouncy castle love bounce bouncy,the school fete,00:04:15.370,00:04:39.710,https://www.youtube.com/watch?v=IoKPhv_x00A&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,24.34,21
69,70,QSXi7rSrfN8,2.7,52.289,peppa pig little brother pig mummy pig birthday today mummy pig birthday daddy pig make mummy pig breakfast bed happy birthday mummy pig peppa george make mummy pig birthday card happy birthday mummy lovely birthday surprise surprise come enjoy birthday breakfast time yummy quick,mummy pig's birthday,00:00:02.700,00:00:52.289,https://www.youtube.com/watch?v=QSXi7rSrfN8&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,49.589,44
70,71,QSXi7rSrfN8,52.649,87.72,ready daddy pig make birthday cake mummy pig candle come mummy pig finish birthday breakfast mummy come ready mummy come secret come mummy pig relax,mummy pig's birthday,00:00:52.649,00:01:27.720,https://www.youtube.com/watch?v=QSXi7rSrfN8&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,35.071,25
71,72,QSXi7rSrfN8,88.29,121.799,sit room sound nice good birthday okay peppa think know sit room nice magazine thank peppa hear pretty music thank peppa need numb candle mummys age dear nearly candle daddy old mummy whisper,mummy pig's birthday,00:01:28.290,00:02:01.799,https://www.youtube.com/watch?v=QSXi7rSrfN8&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,33.509,33
72,73,QSXi7rSrfN8,125.04,159.549,really old know think candle fine mummy pig birthday cake ready decoration sit room little bore mummy nice walk car choice goodbye mummy lovely walk safe come,mummy pig's birthday,00:02:05.040,00:02:39.549,https://www.youtube.com/watch?v=QSXi7rSrfN8&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,34.509,27
73,74,QSXi7rSrfN8,159.97,203.98,forget hard work birthday daddy pig peppa george decorate city granny pig grandpa pig arrive mummy pig birthday happy birthday mummy pig come inside come daddy pig peppa george secret thing lovely late bye mummy like come inside,mummy pig's birthday,00:02:39.970,00:03:23.980,https://www.youtube.com/watch?v=QSXi7rSrfN8&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,44.01,38
74,75,QSXi7rSrfN8,204.819,253.86,love close eye eye place mummy open eye lovely surprise blow candle make wish mummy mummy open present guess idea open beautiful dress beautiful mummy need nice wear,mummy pig's birthday,00:03:24.819,00:04:13.860,https://www.youtube.com/watch?v=QSXi7rSrfN8&feature=youtu.be&ab_channel=UCdRyB_BAJDfo0clpilGkFzQ,49.041,28
